close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
176.4,NFO,199.0,NIFTY18JAN2421650CE,598700,2024-01-12 09:15:00+00,162.9,180.0,1482250
181.7,NFO,184.7,NIFTY18JAN2421650CE,411150,2024-01-12 09:16:00+00,177.0,177.0,1482250
183.45,NFO,184.5,NIFTY18JAN2421650CE,207850,2024-01-12 09:17:00+00,179.8,181.05,1338950
181.0,NFO,183.85,NIFTY18JAN2421650CE,123900,2024-01-12 09:18:00+00,180.05,183.5,1338950
178.5,NFO,182.1,NIFTY18JAN2421650CE,112050,2024-01-12 09:19:00+00,177.5,181.25,1338950
185.55,NFO,187.5,NIFTY18JAN2421650CE,268850,2024-01-12 09:20:00+00,179.2,179.2,1300150
183.5,NFO,188.6,NIFTY18JAN2421650CE,124400,2024-01-12 09:21:00+00,183.5,186.55,1300150
182.85,NFO,184.95,NIFTY18JAN2421650CE,84500,2024-01-12 09:22:00+00,180.9,183.35,1300150
189.05,NFO,189.7,NIFTY18JAN2421650CE,121450,2024-01-12 09:23:00+00,180.75,183.55,1274800
183.9,NFO,191.1,NIFTY18JAN2421650CE,94050,2024-01-12 09:24:00+00,181.6,189.25,1274800
185.35,NFO,187.5,NIFTY18JAN2421650CE,81450,2024-01-12 09:25:00+00,182.2,183.4,1274800
188.9,NFO,189.7,NIFTY18JAN2421650CE,71350,2024-01-12 09:26:00+00,185.8,186.0,1307050
186.15,NFO,192.3,NIFTY18JAN2421650CE,96600,2024-01-12 09:27:00+00,186.15,189.25,1307050
190.85,NFO,192.0,NIFTY18JAN2421650CE,46050,2024-01-12 09:28:00+00,186.45,186.45,1307050
193.85,NFO,195.1,NIFTY18JAN2421650CE,140100,2024-01-12 09:29:00+00,191.0,191.0,1333950
196.55,NFO,197.2,NIFTY18JAN2421650CE,156450,2024-01-12 09:30:00+00,193.55,193.55,1333950
190.8,NFO,197.45,NIFTY18JAN2421650CE,156300,2024-01-12 09:31:00+00,190.8,196.3,1333950
190.7,NFO,194.0,NIFTY18JAN2421650CE,54350,2024-01-12 09:32:00+00,190.15,190.7,1304200
184.2,NFO,190.0,NIFTY18JAN2421650CE,81100,2024-01-12 09:33:00+00,184.2,189.9,1304200
186.7,NFO,188.25,NIFTY18JAN2421650CE,41100,2024-01-12 09:34:00+00,184.3,184.3,1304200
186.85,NFO,190.0,NIFTY18JAN2421650CE,58150,2024-01-12 09:35:00+00,186.5,186.55,1295250
183.7,NFO,187.05,NIFTY18JAN2421650CE,40300,2024-01-12 09:36:00+00,182.4,186.9,1295250
179.6,NFO,185.2,NIFTY18JAN2421650CE,52300,2024-01-12 09:37:00+00,179.55,185.0,1295250
184.65,NFO,185.35,NIFTY18JAN2421650CE,51150,2024-01-12 09:38:00+00,179.35,179.85,1283150
183.5,NFO,185.4,NIFTY18JAN2421650CE,40050,2024-01-12 09:39:00+00,182.6,184.75,1283150
187.1,NFO,187.25,NIFTY18JAN2421650CE,56250,2024-01-12 09:40:00+00,182.3,183.8,1283150
