Open,High,Low,Close,Volume
257.35,257.35,236.2,241.1,1027
240.0,240.75,224.85,231.3,689
231.0,235.85,230.35,230.95,412
231.0,242.5,229.95,241.0,557
242.0,256.9,242.0,253.75,939
253.6,255.45,244.65,244.65,809
244.05,254.0,244.05,249.55,691
248.9,251.4,243.0,244.15,333
243.85,244.95,230.9,240.0,565
237.95,238.85,232.65,232.65,391
231.8,237.0,227.75,229.5,688
229.1,236.0,228.35,231.05,498
231.25,235.25,229.4,232.35,333
234.45,237.5,231.5,237.0,188
237.35,249.0,237.25,245.55,843
245.8,252.2,243.8,247.9,955
249.55,250.65,245.05,245.85,283
245.9,248.7,243.15,244.0,212
243.7,245.05,236.1,236.1,383
235.95,244.65,235.2,243.15,400
243.15,252.05,243.15,252.05,596
253.5,254.75,247.0,247.65,446
249.35,254.2,249.35,253.0,138
252.95,252.95,247.6,247.7,188
248.2,250.0,238.2,238.4,404
239.0,239.4,210.1,216.0,1918
216.05,225.9,214.0,225.8,879
227.45,227.6,216.15,218.2,658
216.45,219.45,212.45,213.05,680
214.4,219.0,211.35,213.3,471
212.9,218.7,210.75,218.7,791
215.95,217.5,206.8,206.9,672
208.2,215.3,207.65,215.3,667
214.65,217.95,212.95,214.8,667
215.7,215.7,208.25,208.25,532
209.0,213.9,203.15,213.55,873
212.9,217.3,209.85,212.0,604
213.95,218.35,210.85,217.7,466
217.55,222.85,217.0,217.25,883
217.6,220.55,211.35,211.65,577
210.9,210.95,200.0,200.95,838
200.6,201.35,196.4,197.35,825
200.3,204.3,198.7,201.15,984
200.0,204.1,198.6,202.25,459
201.75,202.25,196.9,197.4,872
197.0,199.1,189.8,190.4,1649
188.95,189.95,182.15,183.4,2098
182.45,191.0,179.1,190.2,1841
190.1,194.65,186.3,194.65,1313
194.15,195.0,188.3,194.65,1249
195.25,197.5,191.4,193.45,1501
193.85,195.65,189.9,194.75,812
193.0,193.25,188.45,190.55,763
189.25,192.9,187.3,188.3,334
188.6,188.6,177.05,178.6,1973
176.9,176.9,171.9,171.9,2903
171.55,175.1,167.35,175.1,3117
176.85,183.3,175.9,181.7,3661
180.9,183.0,177.4,179.3,1363
178.4,183.35,175.9,176.75,1543
176.25,177.85,170.5,177.85,2598
179.3,185.5,176.8,183.95,3506
185.2,188.95,182.95,184.3,1902
