lasttradetime,open,high,low,close,tradedqty
2024-02-13 09:15:00+00:00,219.38715,232.2417,216.14569,218.3694,302753.2
2024-02-13 09:16:00+00:00,220.7796,233.07014,217.64049,219.47179,306416.2
2024-02-13 09:17:00+00:00,200.50179,210.02792,197.59186,200.61024,235330.33
2024-02-13 09:18:00+00:00,191.92432,199.0856,188.52661,192.64423,193249.17
2024-02-13 09:19:00+00:00,186.38658,195.02779,184.04985,187.12244,198297.75
2024-02-13 09:20:00+00:00,185.36684,192.18034,182.21939,186.39319,176031.94
2024-02-13 09:21:00+00:00,183.84698,189.34402,180.36127,185.09831,160414.08
2024-02-13 09:22:00+00:00,184.5218,190.28998,181.01604,185.74295,163384.73
2024-02-13 09:23:00+00:00,187.20161,192.9875,183.55212,188.35497,168875.52
2024-02-13 09:24:00+00:00,190.11359,196.054,186.33345,191.09625,176667.86
2024-02-13 09:25:00+00:00,185.89174,191.83684,182.44458,187.00696,169016.45
2024-02-13 09:26:00+00:00,183.6262,189.08331,180.08969,184.92467,158762.75
2024-02-13 09:27:00+00:00,179.8987,191.66045,179.27998,180.27043,219144.42
2024-02-13 09:28:00+00:00,173.41483,181.96193,171.69414,174.70023,168947.95
2024-02-13 09:29:00+00:00,174.08752,180.67163,171.66728,175.52812,152272.55
2024-02-13 09:30:00+00:00,169.69743,176.64574,167.66222,171.19357,147281.64
2024-02-13 09:31:00+00:00,169.20673,179.0132,168.34763,170.40512,174937.7
2024-02-13 09:32:00+00:00,162.94926,173.32323,162.84584,164.20961,170155.56
2024-02-13 09:33:00+00:00,156.97203,168.30957,157.47491,158.40605,165752.88
2024-02-13 09:34:00+00:00,154.0903,162.75824,153.75946,155.93784,133688.34
2024-02-13 09:35:00+00:00,152.43848,162.48827,152.77159,154.20747,144134.98
2024-02-13 09:36:00+00:00,149.3585,160.56796,150.39055,151.01474,150611.62
2024-02-13 09:37:00+00:00,144.764,155.98228,145.9949,146.6875,139744.17
2024-02-13 09:38:00+00:00,144.9079,153.89337,145.28584,147.10202,117998.36
2024-02-13 09:39:00+00:00,150.23164,160.88878,150.8532,152.0487,144444.55
2024-02-13 09:40:00+00:00,156.21138,169.31229,157.45792,157.35965,182732.44
2024-02-13 09:41:00+00:00,152.03976,160.52792,151.77586,154.02582,127438.09
2024-02-13 09:42:00+00:00,152.85216,161.41328,152.50804,154.84302,128807.14
2024-02-13 09:43:00+00:00,154.70186,162.76035,154.04099,156.63167,128007.51
2024-02-13 09:44:00+00:00,161.83397,171.40239,161.23651,163.39214,155999.06
2024-02-13 09:45:00+00:00,164.91225,173.88188,164.04134,166.35211,158537.8
2024-02-13 09:46:00+00:00,159.61618,167.21524,158.503,161.42644,133622.53
2024-02-13 09:47:00+00:00,157.104,164.6359,156.13977,159.03984,127825.2
2024-02-13 09:48:00+00:00,170.0735,182.31566,169.97087,170.98555,199191.56
2024-02-13 09:49:00+00:00,191.48402,206.22179,190.92212,191.26057,266866.84
2024-02-13 09:50:00+00:00,199.02628,213.20381,197.97774,198.44414,280077.75
2024-02-13 09:51:00+00:00,205.20978,219.72316,203.85449,204.5387,293647.0
2024-02-13 09:52:00+00:00,215.32141,230.92093,213.60214,213.83769,326382.3
2024-02-13 09:53:00+00:00,233.51738,251.695,231.29219,230.94252,385926.7
2024-02-13 09:54:00+00:00,226.7822,239.84256,223.51512,225.14163,325878.9
2024-02-13 09:55:00+00:00,212.93123,221.60027,208.69098,212.70306,249646.39
2024-02-13 09:56:00+00:00,213.10236,221.08763,208.48547,212.96431,241976.06
2024-02-13 09:57:00+00:00,214.5489,221.6493,209.6324,214.67207,235549.73
2024-02-13 09:58:00+00:00,211.68164,219.42381,207.3506,211.74155,238524.3
2024-02-13 09:59:00+00:00,211.94475,217.71614,206.64116,212.35132,216313.67
2024-02-13 10:00:00+00:00,215.34428,222.52107,210.47249,215.32103,239568.5
2024-02-13 10:01:00+00:00,219.325,231.7677,215.83803,217.97997,300693.62
2024-02-13 10:02:00+00:00,197.83513,210.18185,196.28139,197.53862,260384.1
2024-02-13 10:03:00+00:00,201.80286,211.15738,198.57536,202.05249,233059.25
2024-02-13 10:04:00+00:00,214.9072,224.52745,210.83408,214.6176,261228.1
2024-02-13 10:05:00+00:00,211.37102,219.27911,207.08507,211.36267,239806.9
2024-02-13 10:06:00+00:00,204.76436,211.47485,200.35574,205.11604,213873.81
2024-02-13 10:07:00+00:00,201.94565,208.58638,197.58156,202.46144,205945.12
2024-02-13 10:08:00+00:00,202.21652,207.87755,197.52254,202.84894,197285.55
2024-02-13 10:09:00+00:00,205.41568,212.07759,200.87962,205.8795,212909.64
2024-02-13 10:10:00+00:00,204.34819,209.75696,199.5154,204.96606,199712.92
2024-02-13 10:11:00+00:00,204.548,210.12872,199.66783,205.12198,201012.02
2024-02-13 10:12:00+00:00,204.3651,209.82129,199.49829,204.96713,199806.66
2024-02-13 10:13:00+00:00,202.52734,207.59271,197.59753,203.2227,192100.67
2024-02-13 10:14:00+00:00,206.50385,213.3981,202.04276,206.91188,217862.81
2024-02-13 10:15:00+00:00,217.37743,224.97032,212.36307,217.36537,244823.08
2024-02-13 10:16:00+00:00,223.6091,233.89668,219.29147,222.66138,288187.1
2024-02-13 10:17:00+00:00,222.38884,230.04713,217.02802,222.16734,255232.5
2024-02-13 10:18:00+00:00,222.37003,229.67194,217.0681,222.00552,255201.58
2024-02-13 10:19:00+00:00,212.72734,222.65155,209.20616,212.42137,263366.6
2024-02-13 10:20:00+00:00,207.46423,213.41563,202.6423,207.9047,211444.03
2024-02-13 10:21:00+00:00,214.80592,221.83603,209.79842,214.8936,235275.81
2024-02-13 10:22:00+00:00,219.87878,226.95265,214.55872,219.76295,245987.72
2024-02-13 10:23:00+00:00,217.39159,224.087,212.19504,217.41164,238237.66
2024-02-13 10:24:00+00:00,213.31244,219.3002,208.11322,213.57327,223017.39
2024-02-13 10:25:00+00:00,206.95859,214.74257,202.88771,207.05719,230023.73
2024-02-13 10:26:00+00:00,191.94588,201.63431,189.76369,192.2297,221778.62
2024-02-13 10:27:00+00:00,178.52803,187.68608,176.8083,179.48045,187006.58
2024-02-13 10:28:00+00:00,176.13896,186.8716,175.27972,176.8728,199840.98
2024-02-13 10:29:00+00:00,170.13086,182.21121,170.17209,170.89961,201324.73
