lasttradetime,open,high,low,close,tradedqty
2024-01-30 14:14:00+00:00,197.51015,203.42772,193.27538,196.47028,260291.38
2024-01-30 14:15:00+00:00,207.66605,214.75946,202.89522,206.379,360907.88
2024-01-30 14:16:00+00:00,210.47812,219.82378,205.76424,211.38605,415359.28
2024-01-30 14:17:00+00:00,202.32631,211.48831,198.1543,204.65015,347883.4
2024-01-30 14:18:00+00:00,190.91676,198.8072,187.46672,192.66103,282910.4
2024-01-30 14:19:00+00:00,185.76007,193.07314,182.73665,187.42409,248069.73
2024-01-30 14:20:00+00:00,181.99777,189.27344,179.08632,183.90897,228856.81
2024-01-30 14:21:00+00:00,181.712,188.42952,178.86037,183.42207,193899.73
2024-01-30 14:22:00+00:00,182.01591,188.51813,179.03122,183.50362,182356.77
2024-01-30 14:23:00+00:00,183.9294,190.27275,180.81517,185.11385,189246.16
2024-01-30 14:24:00+00:00,185.26402,191.79617,182.12688,186.66757,194092.08
2024-01-30 14:25:00+00:00,184.45848,191.18974,181.44055,186.21672,191095.16
2024-01-30 14:26:00+00:00,181.70398,188.82962,178.94177,183.21086,232533.03
2024-01-30 14:27:00+00:00,177.20236,185.00827,174.78825,179.08278,261955.73
2024-01-30 14:28:00+00:00,171.5862,180.0197,169.4371,174.23569,275483.16
2024-01-30 14:29:00+00:00,168.82687,176.3126,166.92682,171.03831,212971.64
2024-01-30 14:30:00+00:00,168.59628,176.06079,166.7981,170.73283,217241.27
2024-01-30 14:31:00+00:00,165.03297,172.99934,163.5029,167.30188,251890.42
2024-01-30 14:32:00+00:00,160.59312,169.35838,159.37758,163.08182,292811.9
2024-01-30 14:33:00+00:00,154.61107,163.54451,153.8178,157.51657,278723.16
2024-01-30 14:34:00+00:00,150.72928,159.4173,150.23909,153.31964,263659.22
2024-01-30 14:35:00+00:00,148.85416,157.39285,148.4308,151.44539,253325.9
2024-01-30 14:36:00+00:00,145.65422,154.64796,145.44724,148.3109,277330.75
2024-01-30 14:37:00+00:00,141.903,151.0748,141.9295,144.8513,266652.88
2024-01-30 14:38:00+00:00,141.19986,149.90404,141.19405,143.52248,252193.44
2024-01-30 14:39:00+00:00,145.57524,153.81535,145.23607,147.18616,270054.3
2024-01-30 14:40:00+00:00,148.2713,157.04718,147.91273,150.5,287017.72
2024-01-30 14:41:00+00:00,149.0055,157.98877,148.61406,151.87766,267625.3
2024-01-30 14:42:00+00:00,148.1738,156.35649,147.65643,150.7792,206870.83
2024-01-30 14:43:00+00:00,150.90842,158.76532,150.15576,152.98941,216915.12
2024-01-30 14:44:00+00:00,155.38248,163.10066,154.3623,157.26271,231502.14
2024-01-30 14:45:00+00:00,157.9015,166.00879,156.79095,160.26852,237346.31
2024-01-30 14:46:00+00:00,157.11925,165.36024,156.11775,160.00659,215314.86
2024-01-30 14:47:00+00:00,157.4512,165.10197,156.22073,159.12907,232246.84
2024-01-30 14:48:00+00:00,165.5221,172.93855,163.44109,165.52742,312648.1
2024-01-30 14:49:00+00:00,179.32928,187.72247,176.40376,178.84549,419137.03
2024-01-30 14:50:00+00:00,191.83391,201.33855,188.05736,191.61424,469500.2
2024-01-30 14:51:00+00:00,200.34909,210.02507,196.12787,199.7861,493215.34
2024-01-30 14:52:00+00:00,209.55574,219.42291,204.566,207.95384,541399.4
2024-01-30 14:53:00+00:00,218.07253,228.67593,212.87105,217.39188,555785.9
2024-01-30 14:54:00+00:00,218.73697,229.29349,213.38074,219.57619,488714.9
2024-01-30 14:55:00+00:00,214.32974,222.87805,209.23346,215.30167,370471.12
2024-01-30 14:56:00+00:00,210.50804,217.30762,205.53824,210.44165,296521.53
2024-01-30 14:57:00+00:00,210.26553,217.09528,205.17667,210.17905,284591.28
2024-01-30 14:58:00+00:00,209.34116,216.18665,204.0684,209.34908,265006.38
2024-01-30 14:59:00+00:00,209.33398,215.98328,204.04382,209.20604,263189.03
2024-01-30 15:00:00+00:00,212.96843,219.44809,207.91167,212.12729,301547.75
2024-01-30 15:01:00+00:00,210.33286,218.6439,205.87581,210.82246,374872.9
2024-01-30 15:02:00+00:00,203.01247,212.1682,198.93585,204.53966,396440.38
2024-01-30 15:03:00+00:00,198.19724,206.20245,193.70978,198.41875,357644.22
2024-01-30 15:04:00+00:00,204.36412,211.50223,199.51581,203.91937,318719.1
2024-01-30 15:05:00+00:00,207.6307,214.99889,202.83797,208.06204,300031.9
2024-01-30 15:06:00+00:00,204.1209,211.12459,199.64357,204.9806,262636.25
2024-01-30 15:07:00+00:00,200.57832,207.0093,196.31166,201.32759,233021.6
2024-01-30 15:08:00+00:00,200.35439,206.48242,196.04332,200.60799,228286.73
2024-01-30 15:09:00+00:00,201.47575,207.6299,197.02556,201.76945,221484.62
2024-01-30 15:10:00+00:00,202.37807,208.60217,197.87456,202.71028,222578.08
2024-01-30 15:11:00+00:00,202.50446,208.59073,198.01657,202.92598,210638.56
2024-01-30 15:12:00+00:00,202.24432,208.26564,197.87207,202.72641,207224.92
2024-01-30 15:13:00+00:00,202.40059,208.45787,197.9349,202.61874,216013.48
2024-01-30 15:14:00+00:00,205.22983,211.14247,200.39148,204.63187,239387.19
2024-01-30 15:15:00+00:00,211.56773,217.92694,206.29195,210.32709,299005.47
2024-01-30 15:16:00+00:00,217.48354,224.32802,211.8723,216.44588,323329.28
2024-01-30 15:17:00+00:00,219.4802,226.67175,213.80948,219.08392,327839.4
2024-01-30 15:18:00+00:00,217.39735,224.6063,211.89326,216.86632,313627.34
2024-01-30 15:19:00+00:00,212.45406,220.09846,207.27766,213.00983,300851.53
2024-01-30 15:20:00+00:00,207.89227,215.00339,202.8141,207.9979,287819.75
2024-01-30 15:21:00+00:00,211.09659,217.08784,205.89043,210.23473,257961.27
2024-01-30 15:22:00+00:00,214.95937,221.27234,209.54045,214.1647,273125.66
2024-01-30 15:23:00+00:00,215.07578,221.6664,209.65228,214.81143,265100.97
2024-01-30 15:24:00+00:00,211.14713,218.0043,206.04973,211.3973,262828.34
2024-01-30 15:25:00+00:00,203.61934,211.27917,199.2606,204.88133,279797.44
2024-01-30 15:26:00+00:00,191.77977,200.26906,188.36603,194.0822,297804.3
2024-01-30 15:27:00+00:00,180.1899,188.78204,177.55725,182.47469,307948.16
2024-01-30 15:28:00+00:00,173.51057,181.88828,171.58276,175.19293,319258.3
