Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnover,DeliverableQty,trade
IDEA,EQ,2-May-23,6.95,7,7,6.75,6.9,6.9,6.85,78645995,539041510.6,20804455,26.45
IDEA,EQ,3-May-23,6.9,6.9,7.15,6.85,6.95,6.9,7,82283911,576310408.1,17105625,20.79
IDEA,EQ,4-May-23,6.9,6.95,7.15,6.85,6.95,7,7.01,96883916,678914234.5,35872597,37.03
IDEA,EQ,5-May-23,7,6.95,7.1,6.85,6.95,6.9,6.95,59309955,411909960.6,16650168,28.07
IDEA,EQ,8-May-23,6.9,6.95,7,6.9,6.9,6.9,6.94,26422235,183470953.5,11776575,44.57
IDEA,EQ,9-May-23,6.9,6.95,7,6.8,6.85,6.8,6.89,31986884,220279912.4,14231354,44.49
IDEA,EQ,10-May-23,6.8,6.85,6.85,6.55,6.75,6.75,6.7,101392533,678955583.9,27796535,27.41
IDEA,EQ,11-May-23,6.75,6.8,7.3,6.75,7.1,7.15,7.11,202578532,1439833585,64277745,31.73
IDEA,EQ,12-May-23,7.15,7.1,7.1,6.95,7,7,7.04,74270136,522901276.9,29439011,39.64
IDEA,EQ,15-May-23,7,7,7.3,7,7.1,7.05,7.14,69507856,496178163.3,20328233,29.25
IDEA,EQ,16-May-23,7.05,7.1,7.45,7,7.35,7.35,7.24,182466634,1320457085,47828564,26.21
IDEA,EQ,17-May-23,7.35,7.25,7.25,7,7.05,7.05,7.11,112361973,798535554.5,32049128,28.52
IDEA,EQ,18-May-23,7.05,7.05,7.1,6.95,7.05,7,7.03,47696869,335332096.3,10983505,23.03
IDEA,EQ,19-May-23,7,7.1,7.1,6.9,7,7.05,6.99,49912293,349134048.7,11663566,23.37
IDEA,EQ,22-May-23,7.05,7.05,7.05,6.95,7.05,7,7.01,35838782,251092205.7,15538809,43.36
IDEA,EQ,23-May-23,7,7.05,7.05,6.95,6.95,6.95,6.99,33836036,236368507.9,12464634,36.84
IDEA,EQ,24-May-23,6.95,6.95,7.05,6.9,6.95,6.95,6.99,77537344,542346005.2,17105081,22.06
IDEA,EQ,25-May-23,6.95,6.95,7.25,6.85,7,7,7.08,149531180,1058320260,24195733,16.18
IDEA,EQ,26-May-23,7,7.15,7.2,7,7.05,7.05,7.08,78262217,554123846.7,26497608,33.86
IDEA,EQ,29-May-23,7.05,7.1,7.3,7.05,7.1,7.1,7.17,86663626,621138889.1,24159627,27.88
IDEA,EQ,30-May-23,7.1,7.15,7.2,7.05,7.1,7.1,7.12,45601346,324637888.9,15778593,34.6
IDEA,EQ,31-May-23,7.1,7.15,7.25,6.95,7.15,7.2,7.09,101093940,716499433.7,39278755,38.85
IDEA,EQ,1-Jun-23,7.2,7.2,7.25,7.15,7.15,7.15,7.2,39538257,284486430.5,17086737,43.22
IDEA,EQ,2-Jun-23,7.15,7.2,7.25,7.1,7.2,7.15,7.16,30962188,221831137.1,8998746,29.06
IDEA,EQ,5-Jun-23,7.15,7.2,7.25,7.05,7.1,7.15,7.14,34807393,248671257.8,12551354,36.06
IDEA,EQ,6-Jun-23,7.15,7.15,7.15,7,7.1,7.05,7.09,35549017,251911837.7,10121576,28.47
IDEA,EQ,7-Jun-23,7.05,7.05,7.75,7.05,7.65,7.65,7.49,218120279,1632988734,82878055,38
IDEA,EQ,8-Jun-23,7.65,7.8,7.8,7.35,7.35,7.35,7.53,135736706,1021940807,43673272,32.17
IDEA,EQ,9-Jun-23,7.35,7.4,7.5,7.2,7.35,7.3,7.36,99974916,735849132.7,24011114,24.02
IDEA,EQ,12-Jun-23,7.3,7.35,7.6,7.25,7.55,7.5,7.44,94726837,704503740.2,23226429,24.52
IDEA,EQ,13-Jun-23,7.5,7.55,7.9,7.5,7.7,7.7,7.69,168436075,1294567504,39749662,23.6
