lasttradetime,open,high,low,close,tradedqty
2024-01-30 14:14:00+00:00,205.14975,204.58015,191.52087,202.25784,322181.6
2024-01-30 14:15:00+00:00,201.51637,203.49983,190.59782,199.94159,321022.0
2024-01-30 14:16:00+00:00,196.66139,200.74854,188.11888,196.80138,319177.12
2024-01-30 14:17:00+00:00,190.84369,197.48798,185.44145,192.70395,301744.0
2024-01-30 14:18:00+00:00,184.58875,194.01974,182.62064,187.89815,273481.06
2024-01-30 14:19:00+00:00,179.59036,190.93661,180.1693,183.59735,246235.36
2024-01-30 14:20:00+00:00,176.29756,188.69951,178.44374,180.16837,222779.27
2024-01-30 14:21:00+00:00,175.56783,187.78032,177.78752,178.76956,206430.27
2024-01-30 14:22:00+00:00,177.39798,187.64662,177.60759,180.02878,198156.6
2024-01-30 14:23:00+00:00,178.95094,187.52605,177.37605,181.13513,189855.83
2024-01-30 14:24:00+00:00,182.29353,187.04453,176.39665,184.40315,225753.19
2024-01-30 14:25:00+00:00,181.45195,185.12007,174.42845,183.82362,245841.7
2024-01-30 14:26:00+00:00,179.00801,183.19708,172.45988,182.24144,248311.17
2024-01-30 14:27:00+00:00,174.934,180.31389,169.58687,178.98912,245076.39
2024-01-30 14:28:00+00:00,172.08958,177.44717,166.47766,176.3479,256459.22
2024-01-30 14:29:00+00:00,169.09601,173.89194,162.62149,173.61192,276293.62
2024-01-30 14:30:00+00:00,165.51086,169.77739,158.05376,170.15813,298857.62
2024-01-30 14:31:00+00:00,159.65074,165.10704,153.07802,164.5734,301691.5
2024-01-30 14:32:00+00:00,154.38402,160.74721,148.25284,159.40443,305362.53
2024-01-30 14:33:00+00:00,149.65945,156.19421,143.26059,154.53519,316626.4
2024-01-30 14:34:00+00:00,146.9922,152.76285,139.3161,152.1028,327359.62
2024-01-30 14:35:00+00:00,141.6931,148.94606,135.08667,146.93063,322092.03
2024-01-30 14:36:00+00:00,137.86581,146.04213,131.61066,142.13538,320388.03
2024-01-30 14:37:00+00:00,137.62906,145.06413,129.76259,140.24101,335575.2
2024-01-30 14:38:00+00:00,136.09135,144.46548,128.83963,137.90683,327101.72
2024-01-30 14:39:00+00:00,135.0608,144.45662,128.7187,136.33511,311610.6
2024-01-30 14:40:00+00:00,134.715,144.96953,129.42848,135.76364,292925.1
