Datetime,open,high,low,close,volume
2024-01-30 09:15:00+00,315,400.8,315,390.4,865170
2024-01-30 09:16:00+00,391.6,416.9,385.8,385.8,837720
2024-01-30 09:17:00+00,389.45,396.45,379.35,396.45,428565
2024-01-30 09:18:00+00,394.5,432,394.5,428.5,784665
2024-01-30 09:19:00+00,425.7,429.5,407.35,423.25,499860
2024-01-30 09:20:00+00,418.05,420.7,376.2,376.2,547395
2024-01-30 09:21:00+00,378.85,378.85,353.25,365.25,649305
2024-01-30 09:22:00+00,364.45,377.3,345.95,345.95,536460
2024-01-30 09:23:00+00,352.4,364.3,347.05,363.05,415215
2024-01-30 09:24:00+00,364.45,368.85,353.1,360.3,386040
2024-01-30 09:25:00+00,355.85,368.85,332.1,332.1,623775
2024-01-30 09:26:00+00,328.35,328.35,308.3,311.1,629910
2024-01-30 09:27:00+00,307.55,331.4,303.6,314.85,494865
2024-01-30 09:28:00+00,314.45,325.6,308,316.6,336045
2024-01-30 09:29:00+00,313.95,324.5,299.5,304.3,365610
2024-01-30 09:30:00+00,303.5,341.75,298.2,341.75,557670
2024-01-30 09:31:00+00,344.3,368.25,326.35,330,1026330
2024-01-30 09:32:00+00,332.5,334.7,321,321,370725
2024-01-30 09:33:00+00,328.65,335.8,321.15,332.05,292845
2024-01-30 09:34:00+00,332.05,335.8,311.55,318.85,297345
2024-01-30 09:35:00+00,316.8,326.6,310.85,312.6,229740
2024-01-30 09:36:00+00,312,319.75,305.7,311.55,217395
2024-01-30 09:37:00+00,312.45,318.6,282.6,282.6,412215
2024-01-30 09:38:00+00,290.35,290.35,270.65,286.1,569220
2024-01-30 09:39:00+00,286.55,297.75,275.7,275.7,382545
2024-01-30 09:40:00+00,278.85,292.75,278.2,279.95,283785
2024-01-30 09:41:00+00,275.8,294.9,274.85,293,258270
2024-01-30 09:42:00+00,292.75,314.2,288,314.1,475050
2024-01-30 09:43:00+00,318.85,323.7,304.1,321.45,426840
2024-01-30 09:44:00+00,321.8,326.65,309.7,313,368220
