datetime,open,high,low,close,volume
2023-04-02 18:30:00+00,864,866.8,856.45,864.6,13266878
2023-04-04 18:30:00+00,871,871,857,860.5,11889693
2023-04-05 18:30:00+00,861.8,863.25,849,851.95,19676449
2023-04-09 18:30:00+00,854.8,854.95,843.95,847.35,15655296
2023-04-10 18:30:00+00,848.25,855.7,844.05,853.3,23930739
2023-04-11 18:30:00+00,854.9,856.65,846.65,851.05,13479494
2023-04-12 18:30:00+00,853.65,867.7,845,864.35,23931760
2023-04-16 18:30:00+00,882,882,861,864,22575834
2023-04-17 18:30:00+00,865.35,872,857.1,863.35,17238372
2023-04-18 18:30:00+00,865,874.5,862.55,873.4,23493967
2023-04-19 18:30:00+00,874.8,875.6,864.15,868.75,19443974
2023-04-20 18:30:00+00,870.8,873.85,857.5,864.2,15520361
2023-04-23 18:30:00+00,868,884.4,860.5,884.25,18199976
2023-04-24 18:30:00+00,885,895.8,874.4,878.35,36393993
2023-04-25 18:30:00+00,877.4,889.45,875.2,887.65,19468503
2023-04-26 18:30:00+00,888,890,877.5,881.4,15992300
2023-04-27 18:30:00+00,885.1,890.05,853.65,860,23000112
2023-05-01 18:30:00+00,870,876.4,864.25,870.65,12947365
2023-05-02 18:30:00+00,863.85,866.85,854.05,859.85,15101588
2023-05-03 18:30:00+00,860,867.15,857.5,865.95,9756369
2023-05-04 18:30:00+00,867.15,885,862.75,865.3,14342670
2023-05-07 18:30:00+00,865.3,881.4,865.3,878.45,7007648
2023-05-08 18:30:00+00,882.2,890.2,880,888.25,12116991
2023-05-09 18:30:00+00,892,892.5,877.55,889.9,11892749
2023-05-10 18:30:00+00,891,900,889,895.95,13815812
2023-05-11 18:30:00+00,895.2,913.6,894,910.65,10532603
2023-05-14 18:30:00+00,910.65,919.5,909.15,915.8,7334677
2023-05-15 18:30:00+00,916.2,922.5,912,917.8,12567204
2023-05-16 18:30:00+00,917.7,918.9,911.25,914.8,10248179
2023-05-17 18:30:00+00,920,929.5,912.6,914.7,13613627
2023-05-18 18:30:00+00,920.9,927,908.95,924.05,8392933
2023-05-21 18:30:00+00,923,927.75,914.4,917.55,9382091
2023-05-22 18:30:00+00,917.55,922.5,912.4,916.15,8273439
2023-05-23 18:30:00+00,911.15,920.85,910.2,917.7,6248463
2023-05-24 18:30:00+00,914.75,923.55,912.45,921.05,8149291
2023-05-25 18:30:00+00,918,927.9,915,926.95,4908316
2023-05-28 18:30:00+00,928.4,937.7,928.05,929.8,7133722
2023-05-29 18:30:00+00,930.8,939.7,928.05,937.45,7804350
2023-05-30 18:30:00+00,937.35,939.9,910.2,914.85,34756953
2023-05-31 18:30:00+00,922,930.95,916.05,919.7,11816983
2023-06-01 18:30:00+00,922.65,930.5,920.25,926.1,11616856
2023-06-04 18:30:00+00,927.6,953.9,927.6,950.85,14519963
2023-06-05 18:30:00+00,951.1,970.75,951.1,968.2,14457965
2023-06-06 18:30:00+00,972.95,981.25,968.1,976.75,15795813
2023-06-07 18:30:00+00,973.05,974.85,959.9,962.1,10209379
2023-06-08 18:30:00+00,967,981.7,963.3,974.75,12947464
2023-06-11 18:30:00+00,973,977.9,968.6,974.2,7464815
2023-06-12 18:30:00+00,974.3,989.7,974.3,985.85,15233785
2023-06-13 18:30:00+00,986,988.2,976,977.7,8643604
2023-06-14 18:30:00+00,988.35,989,972.2,977.15,15978272
2023-06-15 18:30:00+00,982.8,985.45,977.2,981.55,8860557
2023-06-18 18:30:00+00,983.85,986,961,965.65,11025831
2023-06-19 18:30:00+00,965.95,977,958.55,974.85,7596458
2023-06-20 18:30:00+00,978.3,978.3,963.15,966,7805726
2023-06-21 18:30:00+00,962.2,973.45,958.7,966.6,10135204
2023-06-22 18:30:00+00,960,965.5,954.55,958.4,6188005
2023-06-25 18:30:00+00,959.5,963.5,953.1,960.55,5798850
2023-06-26 18:30:00+00,967,976,960.8,973.25,6921883
2023-06-27 18:30:00+00,979,984,967,980.45,10002826
2023-06-29 18:30:00+00,977.1,989.85,976,987.45,7096330
2023-07-02 18:30:00+00,990,990,978,982.1,5562681
2023-07-03 18:30:00+00,982.1,984.85,969,970.7,7396806
2023-07-04 18:30:00+00,969,975.5,962.1,966.5,8199585
2023-07-05 18:30:00+00,961,986.1,961,980.95,10206924
2023-07-06 18:30:00+00,976.25,989.45,971.8,976.7,6234726
2023-07-09 18:30:00+00,976.7,986,960.4,964.05,7138747
2023-07-10 18:30:00+00,967.9,971.75,950.6,953.2,10616240
2023-07-11 18:30:00+00,956,957.55,947,950,10141097
2023-07-12 18:30:00+00,956.3,966,952.15,962.25,13079437
2023-07-13 18:30:00+00,964.45,967,947.75,957.05,5383514
2023-07-16 18:30:00+00,960,968.9,950.45,964.6,8469700
2023-07-17 18:30:00+00,964,979.95,951.3,963,14453165
2023-07-18 18:30:00+00,964,969.9,956.5,963,7573566
2023-07-19 18:30:00+00,963.9,979.9,957.6,977.15,15328569
2023-07-20 18:30:00+00,971.6,985,968,971.3,6229377
2023-07-23 18:30:00+00,973.45,984.95,968.8,971,9156647
2023-07-24 18:30:00+00,977.65,977.65,953.8,963,13396750
2023-07-25 18:30:00+00,966.85,980,963.35,975.8,8280315
2023-07-26 18:30:00+00,989.35,989.35,955.75,961.15,17592128
