lasttradetime,open,high,low,close,openinterest,volume
2024-04-10 09:15:00,195.0,201.55,184.4,190.9,250050,63300
2024-04-10 09:16:00,192.0,195.0,190.7,193.85,250050,30500
2024-04-10 09:17:00,193.15,195.2,192.0,193.75,250050,25900
2024-04-10 09:18:00,193.4,196.05,193.4,195.75,240950,18050
2024-04-10 09:19:00,195.3,196.0,190.75,191.55,240950,11200
2024-04-10 09:20:00,191.3,191.65,186.0,186.9,240950,10500
2024-04-10 09:21:00,187.0,190.0,186.1,190.0,241650,8400
2024-04-10 09:22:00,190.0,190.4,188.05,190.3,241650,11050
2024-04-10 09:23:00,190.3,191.0,188.2,188.4,241650,8950
2024-04-10 09:24:00,188.4,196.55,188.4,196.55,252400,14550
2024-04-10 09:25:00,196.1,201.8,195.1,199.65,252400,32000
2024-04-10 09:26:00,199.65,200.0,196.05,198.8,252400,13800
2024-04-10 09:27:00,198.8,201.0,197.2,200.0,252450,12550
2024-04-10 09:28:00,199.55,201.0,198.0,200.05,252450,7800
2024-04-10 09:29:00,200.05,203.0,199.0,200.5,252450,13250
2024-04-10 09:30:00,200.75,203.15,198.5,201.4,246850,11000
2024-04-10 09:31:00,202.0,203.95,198.3,200.3,246850,15250
2024-04-10 09:32:00,200.1,204.0,200.1,200.75,246850,8350
2024-04-10 09:33:00,200.6,202.5,199.4,200.2,245550,8900
2024-04-10 09:34:00,199.95,205.9,198.3,199.9,245550,11300
2024-04-10 09:35:00,199.5,201.15,198.0,199.9,245550,9700
2024-04-10 09:36:00,199.9,200.0,191.4,194.8,249900,16850
2024-04-10 09:37:00,195.45,199.0,195.15,198.0,249900,9500
2024-04-10 09:38:00,196.7,201.5,196.7,199.0,249900,10400
2024-04-10 09:39:00,199.05,200.3,198.6,199.75,251850,4450
2024-04-10 09:40:00,199.4,202.0,199.2,201.1,251850,10600
2024-04-10 09:41:00,201.1,201.1,196.3,198.75,251850,6650
2024-04-10 09:42:00,199.75,200.85,198.0,200.1,249700,1300
2024-04-10 09:43:00,200.1,200.1,196.0,198.5,249700,4400
2024-04-10 09:44:00,197.8,201.2,197.15,201.2,249700,6600
2024-04-10 09:45:00,201.2,201.2,197.1,199.35,251550,3600
2024-04-10 09:46:00,199.4,201.55,197.9,201.2,251550,7850
2024-04-10 09:47:00,201.5,202.35,196.6,196.85,251550,10000
2024-04-10 09:48:00,196.35,198.1,196.0,196.35,254150,5950
2024-04-10 09:49:00,196.3,199.8,196.3,199.8,254150,4700
2024-04-10 09:50:00,199.3,201.0,197.6,199.65,254150,9850
2024-04-10 09:51:00,199.65,203.45,199.65,201.0,244550,5950
2024-04-10 09:52:00,201.35,201.75,197.1,198.0,244550,3400
2024-04-10 09:53:00,197.8,197.9,178.0,184.2,244550,40200
2024-04-10 09:54:00,183.5,195.0,183.1,191.25,250000,22250
2024-04-10 09:55:00,191.35,191.35,187.25,188.45,250000,9550
2024-04-10 09:56:00,188.35,189.6,184.4,189.6,250000,6000
2024-04-10 09:57:00,189.05,194.3,187.75,188.35,249100,11350
2024-04-10 09:58:00,188.6,188.85,185.5,188.85,249100,8100
2024-04-10 09:59:00,189.0,191.75,188.55,191.75,249100,6150
2024-04-10 10:00:00,192.0,195.2,186.6,188.55,251050,13650
2024-04-10 10:01:00,188.65,189.15,187.0,188.2,251050,3450
2024-04-10 10:02:00,188.2,190.7,185.6,186.4,251050,5450
2024-04-10 10:03:00,186.4,188.2,182.1,185.0,261700,16750
2024-04-10 10:04:00,184.25,186.7,183.2,183.2,261700,5150
2024-04-10 10:05:00,183.2,186.0,181.1,183.1,261700,6700
2024-04-10 10:06:00,182.8,185.0,182.5,183.6,266050,3600
2024-04-10 10:07:00,183.6,185.3,181.7,183.2,266050,5350
2024-04-10 10:08:00,184.0,184.1,182.0,184.0,266050,4300
2024-04-10 10:09:00,184.6,188.5,183.3,185.85,266150,8250
2024-04-10 10:10:00,185.85,188.4,184.5,186.8,266150,6300
2024-04-10 10:11:00,186.15,191.0,186.15,189.7,266150,11450
2024-04-10 10:12:00,189.7,189.85,187.6,188.6,266700,10050
2024-04-10 10:13:00,189.2,190.0,188.0,189.15,266700,5550
2024-04-10 10:14:00,189.7,195.4,189.0,194.7,266700,20750
2024-04-10 10:15:00,194.75,195.35,193.0,194.85,261600,10450
2024-04-10 10:16:00,194.85,199.0,194.25,195.9,261600,17550
2024-04-10 10:17:00,196.35,196.35,191.35,191.9,261600,17800
2024-04-10 10:18:00,191.9,193.05,190.95,191.5,265700,3650
2024-04-10 10:19:00,191.5,192.5,190.2,192.4,265700,6300
2024-04-10 10:20:00,192.4,193.0,190.55,191.2,265700,4300
2024-04-10 10:21:00,190.9,192.8,190.0,192.8,267300,6850
2024-04-10 10:22:00,192.8,192.8,186.55,187.0,267300,7950
2024-04-10 10:23:00,187.35,187.9,186.05,187.2,267300,5850
2024-04-10 10:24:00,187.2,190.95,187.15,190.0,269950,5800
2024-04-10 10:25:00,190.0,192.2,189.0,190.8,269950,4800
2024-04-10 10:26:00,190.8,192.0,190.0,191.4,269950,14850
2024-04-10 10:27:00,191.4,191.6,190.0,190.8,267500,2400
2024-04-10 10:28:00,191.0,192.4,191.0,191.7,267500,5700
2024-04-10 10:29:00,191.7,191.7,187.05,187.05,267500,6500
2024-04-10 10:30:00,186.25,191.25,186.25,190.55,262600,7900
2024-04-10 10:31:00,189.95,192.6,189.65,191.1,262600,7200
2024-04-10 10:32:00,191.55,191.65,190.6,191.15,262600,6200
2024-04-10 10:33:00,191.2,194.0,190.3,192.0,262000,14050
2024-04-10 10:34:00,192.45,193.9,192.05,193.65,262000,2050
2024-04-10 10:35:00,193.65,196.2,193.35,195.25,262000,9200
2024-04-10 10:36:00,195.25,195.4,191.0,193.0,263250,4250
2024-04-10 10:37:00,193.0,195.0,192.95,194.8,263250,3850
2024-04-10 10:38:00,194.8,194.8,194.0,194.7,263250,4550
2024-04-10 10:39:00,195.0,195.5,193.4,193.8,264600,3150
2024-04-10 10:40:00,193.8,194.95,193.8,194.9,264600,950
2024-04-10 10:41:00,195.0,195.0,191.15,191.45,264600,4000
2024-04-10 10:42:00,191.45,196.5,191.2,195.8,264800,5550
2024-04-10 10:43:00,195.8,195.8,191.2,191.6,264800,750
2024-04-10 10:44:00,191.6,193.65,191.6,193.65,264800,2350
2024-04-10 10:45:00,193.6,195.8,192.6,193.55,264850,6950
2024-04-10 10:46:00,193.15,193.8,192.15,193.2,264850,4350
2024-04-10 10:47:00,193.2,193.3,191.7,192.65,264850,2350
2024-04-10 10:48:00,192.2,192.45,191.25,192.1,268700,1150
2024-04-10 10:49:00,191.9,194.5,191.9,192.2,268700,3300
2024-04-10 10:50:00,192.2,192.2,191.0,192.15,268700,3850
2024-04-10 10:51:00,192.15,192.15,191.0,192.1,267300,750
2024-04-10 10:52:00,192.1,193.3,191.3,191.3,267300,1200
2024-04-10 10:53:00,191.3,192.2,191.0,191.2,267300,500
2024-04-10 10:54:00,191.2,191.5,189.8,190.4,267650,6500
2024-04-10 10:55:00,190.7,191.35,190.0,190.0,267650,2400
2024-04-10 10:56:00,190.75,192.3,190.15,190.9,267650,2400
2024-04-10 10:57:00,190.9,191.5,190.6,190.6,272600,550
2024-04-10 10:58:00,190.6,191.5,190.0,191.15,272600,1400
2024-04-10 10:59:00,191.15,192.3,191.15,192.3,272600,2000
2024-04-10 11:00:00,192.3,195.1,191.0,193.8,270050,5750
2024-04-10 11:01:00,194.15,195.0,193.0,194.0,270050,4500
2024-04-10 11:02:00,194.0,194.1,193.2,193.9,270050,3150
2024-04-10 11:03:00,193.9,195.3,193.5,195.0,271500,4200
2024-04-10 11:04:00,195.0,198.4,195.0,197.2,271500,13950
2024-04-10 11:05:00,197.3,200.8,196.5,196.8,271500,16950
2024-04-10 11:06:00,196.8,200.5,196.8,199.0,265300,13250
2024-04-10 11:07:00,198.7,200.0,197.0,197.3,265300,6400
2024-04-10 11:08:00,196.8,197.6,194.55,197.05,265300,2000
2024-04-10 11:09:00,197.05,198.7,197.05,198.7,268500,4700
2024-04-10 11:10:00,196.55,199.9,196.55,197.3,268500,6000
2024-04-10 11:11:00,198.1,198.95,196.95,198.3,268500,850
2024-04-10 11:12:00,198.0,198.6,197.05,197.6,265950,4550
2024-04-10 11:13:00,197.65,200.05,197.65,200.05,265950,4500
2024-04-10 11:14:00,199.5,199.55,198.0,198.0,265950,3600
2024-04-10 11:15:00,197.15,197.55,192.55,192.55,266400,9100
2024-04-10 11:16:00,193.75,193.9,189.4,193.2,266400,20600
2024-04-10 11:17:00,193.2,194.25,191.7,192.4,266400,5500
2024-04-10 11:18:00,192.4,192.4,190.95,191.0,278400,3850
2024-04-10 11:19:00,191.0,191.0,187.0,189.15,278400,7100
2024-04-10 11:20:00,189.7,189.7,185.1,185.1,278400,11250
2024-04-10 11:21:00,185.45,185.45,180.4,183.6,290200,24500
2024-04-10 11:22:00,183.0,184.0,181.25,184.0,290200,9650
