close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
17.85,NFO,18.9,NIFTY25MAY2318500CE,1481650,2023-05-23 09:15:00+00,12.8,16,10353300
141,NFO,164.1,NIFTY25MAY2318500PE,129050,2023-05-23 09:15:00+00,140.55,150.55,1537650
16.25,NFO,18,NIFTY25MAY2318500CE,1799000,2023-05-23 09:16:00+00,16.25,17.8,10353300
150.8,NFO,150.8,NIFTY25MAY2318500PE,247150,2023-05-23 09:16:00+00,137.3,140.6,1537650
142.95,NFO,149.8,NIFTY25MAY2318500PE,172500,2023-05-23 09:17:00+00,142.95,149,1537650
17.3,NFO,17.5,NIFTY25MAY2318500CE,1204250,2023-05-23 09:17:00+00,16.25,16.25,10353300
19.8,NFO,20.25,NIFTY25MAY2318500CE,1583250,2023-05-23 09:18:00+00,17.4,17.4,10353300
136.8,NFO,143.3,NIFTY25MAY2318500PE,168750,2023-05-23 09:18:00+00,135.5,143.05,1537650
137.5,NFO,138.5,NIFTY25MAY2318500PE,157600,2023-05-23 09:19:00+00,132.6,136.75,1537650
19.5,NFO,20.7,NIFTY25MAY2318500CE,1200900,2023-05-23 09:19:00+00,19.35,19.9,10353300
18.9,NFO,19.9,NIFTY25MAY2318500CE,998850,2023-05-23 09:20:00+00,18.65,19.7,10353300
140.5,NFO,140.5,NIFTY25MAY2318500PE,124750,2023-05-23 09:20:00+00,135.65,137.5,1537650
141.95,NFO,142.9,NIFTY25MAY2318500PE,132550,2023-05-23 09:21:00+00,138.1,140,1537650
18.05,NFO,19,NIFTY25MAY2318500CE,748750,2023-05-23 09:21:00+00,17.9,18.8,10353300
17.5,NFO,18.25,NIFTY25MAY2318500CE,757200,2023-05-23 09:22:00+00,16.75,18.25,10353300
145,NFO,147.55,NIFTY25MAY2318500PE,133450,2023-05-23 09:22:00+00,140.55,141.05,1537650
142.45,NFO,145.55,NIFTY25MAY2318500PE,63650,2023-05-23 09:23:00+00,140.7,145.45,1537650
